metric,model_family,n,mean,std,median,min,max
best_val_macro_f1,ConvNeXtBase,5,0.988618548616216,0.0026396011146029674,0.989592544923252,0.9853333807366454,0.99176582652125
best_val_macro_f1,EfficientNetV2S,5,0.9894404664796962,0.001189908588111708,0.9893870656047464,0.9883435864910908,0.9914020765865568
best_val_macro_f1,SwinBase,5,0.9903695502320433,0.0013942039304290054,0.9895853889800396,0.98914228122969,0.9923214582285518
test_loss,ConvNeXtBase,5,0.0449188496707596,0.0045365477168947555,0.0439807754963476,0.0409175358805326,0.0515711681516155
test_loss,EfficientNetV2S,5,0.0547079590902117,0.013810156408621915,0.0571543878206435,0.0393709781582796,0.0750412516655367
test_loss,SwinBase,5,0.04279789032379154,0.008085274953739202,0.0402498979057229,0.0343270787200794,0.0532364730765032
test_accuracy,ConvNeXtBase,5,0.9871892366188945,0.0020306001705422253,0.987130739982451,0.9842059081602808,0.9894706054401872
test_accuracy,EfficientNetV2S,5,0.9880666861655456,0.0025109302171786693,0.9888856390757532,0.9844983913424978,0.9906405381690552
test_accuracy,SwinBase,5,0.9870722433460075,0.003305189373855871,0.987423223164668,0.9815735595203277,0.9900555718046212
balanced_accuracy,ConvNeXtBase,5,0.988956091756464,0.002483888369482885,0.9893192344297794,0.9856128114841778,0.9913920562198612
balanced_accuracy,EfficientNetV2S,5,0.9898589264137299,0.0029349016541841376,0.9899782678985198,0.9859376374364895,0.9936720416984351
balanced_accuracy,SwinBase,5,0.9888501642776542,0.0035402256800773856,0.9893793035297208,0.9829002046223208,0.9923152597486736
macro_precision,ConvNeXtBase,5,0.9881675989762202,0.00224752531880054,0.9875576698345148,0.9851774185387694,0.9906959649204496
macro_precision,EfficientNetV2S,5,0.9884763744178849,0.002678294843749186,0.9896308003335584,0.98413246299472,0.9905575270458796
macro_precision,SwinBase,5,0.9874968575462564,0.004082671713039094,0.9885181444580008,0.9806345316006172,0.99108054660349
macro_recall,ConvNeXtBase,5,0.988956091756464,0.002483888369482885,0.9893192344297794,0.9856128114841778,0.9913920562198612
macro_recall,EfficientNetV2S,5,0.9898589264137299,0.0029349016541841376,0.9899782678985198,0.9859376374364895,0.9936720416984351
macro_recall,SwinBase,5,0.9888501642776542,0.0035402256800773856,0.9893793035297208,0.9829002046223208,0.9923152597486736
macro_f1,ConvNeXtBase,5,0.9884815491683762,0.0023865472176811254,0.9883998545482704,0.985220617177853,0.9909997101807952
macro_f1,EfficientNetV2S,5,0.9891285302164207,0.0027852813311489946,0.989783009153129,0.9849293266509233,0.9920808259718557
macro_f1,SwinBase,5,0.98809770080245,0.0038751730165486804,0.9888870391909674,0.981563143378071,0.9916876778147428
weighted_precision,ConvNeXtBase,5,0.9874476703988122,0.0019051727134888966,0.9871677031389332,0.9847416164598408,0.9896223938621096
weighted_precision,EfficientNetV2S,5,0.9881795051223026,0.0024071611815929582,0.9889710691149306,0.9848293299577596,0.9906885670365072
weighted_precision,SwinBase,5,0.9872506858472956,0.0031579270172576875,0.987455637423118,0.9820054692214872,0.99005607493835
